epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2022.42,1.40809,1.02541,0.92268,0.4136,0.31422,0.31248,0.18085,1.38533,1.01627,0.91702,0.005743,0.005743,0.005743
45,2067.97,1.41459,1.0294,0.92565,0.41496,0.31482,0.31205,0.18029,1.37947,1.01513,0.91595,0.005644,0.005644,0.005644
46,2113.32,1.41042,1.02127,0.92141,0.42166,0.31814,0.31352,0.18192,1.37749,1.01745,0.91459,0.005545,0.005545,0.005545
47,2158.96,1.40146,1.01742,0.9216,0.4131,0.31844,0.31598,0.18214,1.37658,1.01846,0.91708,0.005446,0.005446,0.005446
48,2204.75,1.40217,1.01438,0.92104,0.42302,0.31674,0.31638,0.18198,1.37169,1.00962,0.91447,0.005347,0.005347,0.005347
49,2250.51,1.3947,1.00974,0.92369,0.42744,0.31696,0.31824,0.18324,1.37228,1.01331,0.91412,0.005248,0.005248,0.005248
50,2295.75,1.39592,1.00691,0.9211,0.43882,0.31958,0.32468,0.18696,1.37365,1.00215,0.91482,0.005149,0.005149,0.005149
51,2341.05,1.3966,1.00992,0.92153,0.42471,0.32794,0.32524,0.18723,1.36684,1.00541,0.91406,0.00505,0.00505,0.00505
52,2386.89,1.39707,1.00657,0.91884,0.42997,0.32039,0.32198,0.18639,1.37045,1.00445,0.91389,0.004951,0.004951,0.004951
53,2432.31,1.38817,0.99824,0.91882,0.4321,0.32657,0.3256,0.18838,1.36773,0.99838,0.91453,0.004852,0.004852,0.004852
54,2477.89,1.39332,0.99891,0.91787,0.44085,0.32071,0.32311,0.18797,1.36685,0.99758,0.91376,0.004753,0.004753,0.004753
55,2523.33,1.38863,0.99571,0.91935,0.42754,0.32769,0.32092,0.18596,1.36781,1.00039,0.91398,0.004654,0.004654,0.004654
56,2569.12,1.38407,0.99052,0.91654,0.43557,0.32743,0.32574,0.18881,1.36311,0.99437,0.91164,0.004555,0.004555,0.004555
57,2614.82,1.37813,0.98987,0.91597,0.44025,0.32497,0.32672,0.18908,1.36161,0.9937,0.91126,0.004456,0.004456,0.004456
